,time,lon,lat,sm,geometry,index_right,class_sm,u_sm,class_usm
225367,2023-07-01,1.875,50.875,47.455227,POINT (1.875 50.875),0,Modèrement sec,37.30049514770508,Modèrement sec
225368,2023-07-01,2.125,50.875,48.059654,POINT (2.125 50.875),0,Modèrement sec,37.23887252807617,Modèrement sec
225369,2023-07-01,2.375,50.875,45.59984,POINT (2.375 50.875),0,Modèrement sec,35.519222259521484,Modèrement sec
226806,2023-07-01,1.625,50.625,44.200344,POINT (1.625 50.625),0,Modèrement sec,35.19221496582031,Modèrement sec
226807,2023-07-01,1.875,50.625,46.930252,POINT (1.875 50.625),0,Modèrement sec,36.14894104003906,Modèrement sec
226808,2023-07-01,2.125,50.625,45.282207,POINT (2.125 50.625),0,Modèrement sec,35.28807067871094,Modèrement sec
226809,2023-07-01,2.375,50.625,42.302277,POINT (2.375 50.625),0,Modèrement sec,34.67807388305664,Modèrement sec
226810,2023-07-01,2.625,50.625,44.235565,POINT (2.625 50.625),0,Modèrement sec,37.99610137939453,Modèrement sec
226811,2023-07-01,2.875,50.625,54.403286,POINT (2.875 50.625),0,Humidité normale,49.616703033447266,Modèrement sec
226812,2023-07-01,3.125,50.625,64.07103,POINT (3.125 50.625),0,Humidité normale,58.75217819213867,Humidité normale
228246,2023-07-01,1.625,50.375,46.934277,POINT (1.625 50.375),0,Modèrement sec,35.790557861328125,Modèrement sec
228247,2023-07-01,1.875,50.375,49.557896,POINT (1.875 50.375),0,Modèrement sec,37.88378143310547,Modèrement sec
228248,2023-07-01,2.125,50.375,47.433025,POINT (2.125 50.375),0,Modèrement sec,36.44236373901367,Modèrement sec
228249,2023-07-01,2.375,50.375,43.622383,POINT (2.375 50.375),0,Modèrement sec,34.80015563964844,Modèrement sec
228250,2023-07-01,2.625,50.375,47.12874,POINT (2.625 50.375),0,Modèrement sec,39.38795471191406,Modèrement sec
228251,2023-07-01,2.875,50.375,52.45098,POINT (2.875 50.375),0,Humidité normale,45.99685287475586,Modèrement sec
228252,2023-07-01,3.125,50.375,50.806637,POINT (3.125 50.375),0,Humidité normale,45.6897087097168,Modèrement sec
228253,2023-07-01,3.375,50.375,48.8732,POINT (3.375 50.375),0,Modèrement sec,43.928836822509766,Modèrement sec
228254,2023-07-01,3.625,50.375,49.1799,POINT (3.625 50.375),0,Modèrement sec,43.54890060424805,Modèrement sec
229686,2023-07-01,1.625,50.125,47.71604,POINT (1.625 50.125),0,Modèrement sec,37.244808197021484,Modèrement sec
229687,2023-07-01,1.875,50.125,48.534702,POINT (1.875 50.125),0,Modèrement sec,38.55385208129883,Modèrement sec
229688,2023-07-01,2.125,50.125,46.553493,POINT (2.125 50.125),0,Modèrement sec,38.18181228637695,Modèrement sec
229689,2023-07-01,2.375,50.125,43.441006,POINT (2.375 50.125),0,Modèrement sec,36.03645706176758,Modèrement sec
229690,2023-07-01,2.625,50.125,42.747856,POINT (2.625 50.125),0,Modèrement sec,34.39070510864258,Modèrement sec
229691,2023-07-01,2.875,50.125,43.680332,POINT (2.875 50.125),0,Modèrement sec,34.87600326538086,Modèrement sec
229692,2023-07-01,3.125,50.125,43.443523,POINT (3.125 50.125),0,Modèrement sec,35.138607025146484,Modèrement sec
229693,2023-07-01,3.375,50.125,42.21577,POINT (3.375 50.125),0,Modèrement sec,35.39118576049805,Modèrement sec
229694,2023-07-01,3.625,50.125,40.19064,POINT (3.625 50.125),0,Modèrement sec,34.42747116088867,Modèrement sec
229695,2023-07-01,3.875,50.125,38.972694,POINT (3.875 50.125),0,Modèrement sec,33.20208740234375,Modèrement sec
229696,2023-07-01,4.125,50.125,38.681377,POINT (4.125 50.125),0,Modèrement sec,34.447750091552734,Modèrement sec
231123,2023-07-01,0.875,49.875,46.800255,POINT (0.875 49.875),0,Modèrement sec,37.5435676574707,Modèrement sec
231124,2023-07-01,1.125,49.875,46.804237,POINT (1.125 49.875),0,Modèrement sec,38.411712646484375,Modèrement sec
231125,2023-07-01,1.375,49.875,46.42758,POINT (1.375 49.875),0,Modèrement sec,37.73066329956055,Modèrement sec
231126,2023-07-01,1.625,49.875,43.58537,POINT (1.625 49.875),0,Modèrement sec,36.37407302856445,Modèrement sec
231127,2023-07-01,1.875,49.875,42.52973,POINT (1.875 49.875),0,Modèrement sec,36.92560577392578,Modèrement sec
231128,2023-07-01,2.125,49.875,42.909153,POINT (2.125 49.875),0,Modèrement sec,39.092811584472656,Modèrement sec
231129,2023-07-01,2.375,49.875,42.497192,POINT (2.375 49.875),0,Modèrement sec,39.234317779541016,Modèrement sec
231130,2023-07-01,2.625,49.875,40.426777,POINT (2.625 49.875),0,Modèrement sec,36.11183166503906,Modèrement sec
231131,2023-07-01,2.875,49.875,41.588497,POINT (2.875 49.875),0,Modèrement sec,35.5390510559082,Modèrement sec
231132,2023-07-01,3.125,49.875,43.37472,POINT (3.125 49.875),0,Modèrement sec,36.23588943481445,Modèrement sec
231133,2023-07-01,3.375,49.875,43.332554,POINT (3.375 49.875),0,Modèrement sec,36.00726318359375,Modèrement sec
231134,2023-07-01,3.625,49.875,40.134396,POINT (3.625 49.875),0,Modèrement sec,33.704776763916016,Modèrement sec
231135,2023-07-01,3.875,49.875,36.614967,POINT (3.875 49.875),0,Modèrement sec,31.3708438873291,Modèrement sec
231136,2023-07-01,4.125,49.875,35.67781,POINT (4.125 49.875),0,Modèrement sec,32.29899978637695,Modèrement sec
231137,2023-07-01,4.375,49.875,42.11538,POINT (4.375 49.875),0,Modèrement sec,38.58224868774414,Modèrement sec
231138,2023-07-01,4.625,49.875,54.123295,POINT (4.625 49.875),0,Humidité normale,50.6462287902832,Humidité normale
232553,2023-07-01,-1.625,49.625,41.025158,POINT (-1.625 49.625),0,Modèrement sec,36.10165023803711,Modèrement sec
232554,2023-07-01,-1.375,49.625,39.40795,POINT (-1.375 49.625),0,Modèrement sec,34.4145393371582,Modèrement sec
232561,2023-07-01,0.375,49.625,49.444176,POINT (0.375 49.625),0,Modèrement sec,39.56404495239258,Modèrement sec
232562,2023-07-01,0.625,49.625,49.22709,POINT (0.625 49.625),0,Modèrement sec,38.72282791137695,Modèrement sec
232563,2023-07-01,0.875,49.625,49.941006,POINT (0.875 49.625),0,Modèrement sec,40.78797149658203,Modèrement sec
232564,2023-07-01,1.125,49.625,48.211727,POINT (1.125 49.625),0,Modèrement sec,40.33311462402344,Modèrement sec
232565,2023-07-01,1.375,49.625,40.76328,POINT (1.375 49.625),0,Modèrement sec,35.24430847167969,Modèrement sec
232566,2023-07-01,1.625,49.625,35.09164,POINT (1.625 49.625),0,Modèrement sec,31.531389236450195,Modèrement sec
232567,2023-07-01,1.875,49.625,34.15986,POINT (1.875 49.625),0,Modèrement sec,32.095638275146484,Modèrement sec
232568,2023-07-01,2.125,49.625,35.18156,POINT (2.125 49.625),0,Modèrement sec,32.921260833740234,Modèrement sec
232569,2023-07-01,2.375,49.625,34.02502,POINT (2.375 49.625),0,Modèrement sec,31.88728141784668,Modèrement sec
232570,2023-07-01,2.625,49.625,35.543144,POINT (2.625 49.625),0,Modèrement sec,32.31039047241211,Modèrement sec
232571,2023-07-01,2.875,49.625,38.573025,POINT (2.875 49.625),0,Modèrement sec,34.42441940307617,Modèrement sec
232572,2023-07-01,3.125,49.625,39.69412,POINT (3.125 49.625),0,Modèrement sec,35.50883865356445,Modèrement sec
232573,2023-07-01,3.375,49.625,38.89692,POINT (3.375 49.625),0,Modèrement sec,34.825984954833984,Modèrement sec
232574,2023-07-01,3.625,49.625,37.509857,POINT (3.625 49.625),0,Modèrement sec,32.90702438354492,Modèrement sec
232575,2023-07-01,3.875,49.625,35.25605,POINT (3.875 49.625),0,Modèrement sec,31.281164169311523,Modèrement sec
232576,2023-07-01,4.125,49.625,32.58456,POINT (4.125 49.625),0,Modèrement sec,29.081106185913086,Très sec
232577,2023-07-01,4.375,49.625,32.7244,POINT (4.375 49.625),0,Modèrement sec,28.86687469482422,Très sec
232578,2023-07-01,4.625,49.625,36.275158,POINT (4.625 49.625),0,Modèrement sec,32.72842025756836,Modèrement sec
232579,2023-07-01,4.875,49.625,40.272404,POINT (4.875 49.625),0,Modèrement sec,37.18825149536133,Modèrement sec
232580,2023-07-01,5.125,49.625,43.275284,POINT (5.125 49.625),0,Modèrement sec,40.29013442993164,Modèrement sec
