annee,mois,valeur,niveau_nappes
2023,1,-0.31909004462802687,Modérément bas
2023,2,-0.7198022663410883,Modérément bas
2023,3,-0.49788542180346645,Modérément bas
2023,4,-0.23227269372788092,Autour de la normale
2023,5,-0.22791585942390408,Autour de la normale
2023,6,-0.22759497498123138,Autour de la normale
2023,7,-0.35732948797872977,Modérément bas
2023,8,-0.27550249004928157,Modérément bas
2023,9,-0.3056042669060904,Modérément bas
2023,10,-0.3754833959366675,Modérément bas
2023,11,0.3178696947366064,Modérément haut
2023,12,0.3969232033937814,Modérément haut
2024,1,0.17659240961124162,Autour de la normale
