annee,mois,valeur,niveau_nappes
2023,1,-0.33230521511029204,Modérément bas
2023,2,-0.9008079998338455,Bas
2023,3,-0.8491248065748368,Bas
2023,4,-0.5462068094264397,Modérément bas
2023,5,-0.5736837661545313,Modérément bas
2023,6,-0.5449559336785037,Modérément bas
2023,7,-0.5627223678272096,Modérément bas
2023,8,-0.468102930396105,Modérément bas
2023,9,-0.4666722760565117,Modérément bas
2023,10,-0.5207267308702032,Modérément bas
2023,11,0.26169372459802664,Modérément haut
2023,12,0.3884358219157991,Modérément haut
2024,1,0.23600146464365118,Autour de la normale
