annee,mois,valeur,niveau_pluviométrie
2023,1,-0.16134686036773876,Situation normale
2023,2,-0.0012341365770860708,Situation normale
2023,3,0.5806385215709692,Situation normale
2023,4,0.6045951618401582,Situation normale
2023,5,0.18050387261498693,Situation normale
2023,6,0.2368253483885772,Situation normale
2023,7,0.3573163746178782,Situation normale
2023,8,0.3863406823150595,Situation normale
2023,9,0.26346433828959726,Situation normale
2023,10,0.36864099014927526,Situation normale
2023,11,0.5903854345201239,Situation normale
2023,12,0.31266855394190346,Situation normale
2024,1,0.01336377855867797,Situation normale
