departement_code,id,bss_code,name,critical-water-level,drought-decrees-sou,drought-decrees-sup,dryness-agricultural,dryness-groundwater,dryness-groundwater-deep,dryness-meteo,dryness-resources,dryness-small-stream,dryness-stream-flow,heatwave-agricultural,heatwave-meteo,heatwave-resources,quality
1,8168,06775X0010/BOURSI,Forage - Voie ferree (Boursin - BRGM 01),0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2575,BSS003EFKG/X,Artemare - BSS003EFKG/X,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8418,06991X0220/PZ,Balan - 06991X0220/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,9941,07011X0117/RN00,Béon - 07011X0117/RN00,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9945,07004X0057/D1_20,Béon - 07004X0057/D1_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10030,07004X0054/RN04,Béon - 07004X0054/RN04,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10034,07004X0058/D1_05,Béon - 07004X0058/D1_05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10035,07011X0119/RN05,Béon - 07011X0119/RN05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10041,07011X0120/RN06,Béon - 07011X0120/RN06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2574,07004X0046/D6-20,Piezometre - Marais de Lavours (Ceyzerieu - BRGM 01),0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,9942,07004X0055/RN10,Ceyzérieu - 07004X0055/RN10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,9964,07011X0118/RN02,Ceyzérieu - 07011X0118/RN02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10049,07004X0053/P100B,Ceyzérieu - 07004X0053/P100B,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10043,07011X0121/RN07,Culoz - 07011X0121/RN07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10036,07008X0109/EID5,Flaxieu - 07008X0109/EID5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,10046,07011X0122/RN09,Flaxieu - 07011X0122/RN09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2287,06288X0096/SB,Piezometre - Centre equestre (Gex - BRGM 01),0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,7576,06993X0226/MEXI_2,Piezometre - Bord autoroute (Meximieux - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,2285,06533X0070/F2,Piezometre - Greny (Peron - BRGM 01),0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,1214,06256X0188/PZ,Replonges - 06256X0188/PZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2355,06754X0077/F1,PIEZOMETRE - GRAVIERE (ST-JEAN-LE-VIEUX - BRGM 01),0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,8459,06503X0028/PZ,Saint-Jean-sur-Veyle - 06503X0028/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1,636,06261X0007/PZ,Saint-Julien-sur-Reyssouze - 06261X0007/PZ,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,2366,06757X0071/PZ,Saint-Maurice-de-Rémens - 06757X0071/PZ,0,1,0,0,1,0,0,0,0,0,0,0,0,0
