Mois,Très bas,Bas,Modérément bas,Autour de la normale,Modérément haut,Haut,Très haut
Décembre 2022,0.0,0.0,0.0,28.54349951124145,68.32844574780059,3.0303030303030303,0.09775171065493646
Janvier 2023,0.0,0.0,0.0,34.40860215053764,63.24535679374389,2.346041055718475,0.0
Février 2023,0.0,0.0,11.436950146627565,76.44183773216031,11.241446725317692,0.8797653958944283,0.0
Mars 2023,0.0,0.0,0.0,4.203323558162268,73.02052785923753,21.994134897360702,0.7820136852394917
Avril 2023,0.0,0.0,0.0,5.669599217986314,84.06647116324535,10.263929618768328,0.0
Mai 2023,0.0,0.0,0.7820136852394917,77.41935483870968,20.43010752688172,1.3685239491691104,0.0
Juin 2023,0.0,0.0,0.39100684261974583,64.22287390029325,33.91984359726295,1.466275659824047,0.0
Juillet 2023,0.0,0.0,0.4887585532746823,43.401759530791786,53.567937438905176,2.541544477028348,0.0
Août 2023,0.0,0.0,0.5865102639296188,17.888563049853374,79.56989247311827,1.9550342130987293,0.0
Septembre 2023,0.0,0.0,0.19550342130987292,55.2297165200391,43.401759530791786,1.1730205278592376,0.0
Octobre 2023,0.0,0.0,0.0,29.227761485826004,69.99022482893452,0.7820136852394917,0.0
Novembre 2023,0.0,0.0,0.0,3.1280547409579667,86.3147605083089,10.068426197458455,0.4887585532746823
